BL4,53.55,-2.41
BL5,53.55,-2.47
BL6,53.58,-2.5
BL7,53.64,-2.4
BL78,53.55,-2.4
BL8,53.6,-2.31
BL9,53.59,-2.3
BN1,50.83,-0.14
BN10,50.79,-0.02
BN11,50.81,-0.37
BN12,50.81,-0.41
BN13,50.82,-0.39
BN14,50.84,-0.39
BN15,50.83,-0.33
BN16,50.82,-0.49
BN17,50.81,-0.54
BN18,50.86,-0.57
BN2,50.82,-0.12
BN20,50.75,0.21
BN21,50.77,0.28
BN22,50.79,0.26
BN23,50.79,0.33
BN24,50.82,0.31
BN25,50.77,0.1
BN26,50.82,0.24
BN27,50.86,0.26
BN3,50.83,-0.16
BN4,50.83,-0.21
BN41,50.83,-0.21
BN42,50.83,-0.23
BN43,50.84,-0.27
BN44,50.91,-0.33
BN45,50.89,-0.21
BN5,50.92,-0.26
BN50,50.83,-0.14
BN51,50.8,-0.06
BN52,50.83,-0.17
BN6,50.92,-0.14
BN7,50.87,0.01
BN8,50.91,0.17
BN88,50.82,-0.13
BN9,50.8,0.05
BN99,50.81,-0.37
BR1,51.41,0.02
BR2,51.41,-0.01
BR3,51.41,-0.03
BR4,51.38,-0.01
BR5,51.39,0.06
BR6,51.37,0.09
BR7,51.42,0.07
BR8,51.37,0.05
BS0,51.34,-2.96
BS1,51.45,-2.58
BS10,51.49,-2.59
BS11,51.5,-2.68
BS12,51.54,-2.55
BS13,51.41,-2.6
BS14,51.42,-2.58
BS15,51.46,-2.51
BS16,51.48,-2.53
BS17,51.51,-2.5
BS18,51.41,-2.5
BS19,51.43,-2.75
BS2,51.46,-2.58
BS20,51.48,-2.69
BS21,51.43,-2.85
BS22,51.36,-2.93
BS23,51.35,-2.98
BS24,51.31,-2.95
BS25,51.31,-2.83
BS26,51.29,-2.82
BS27,51.28,-2.78
BS28,51.23,-2.81
BS29,51.33,-2.87
BS3,51.45,-2.59
BS30,51.45,-2.46
BS31,51.41,-2.5
BS32,51.53,-2.57
BS34,51.53,-2.58
BS35,51.62,-2.51
BS36,51.51,-2.5
BS37,51.54,-2.41
BS39,51.37,-2.55
BS4,51.43,-2.58
BS40,51.36,-2.79
BS41,51.44,-2.6
BS48,51.43,-2.75
BS49,51.39,-2.82
BS5,51.46,-2.57
BS6,51.47,-2.59
BS7,51.49,-2.58
BS77,51.44,-2.6
BS8,51.46,-2.61
BS80,51.34,-2.96
BS9,51.49,-2.62
BS98,51.46,-2.59
BS99,51.46,-2.57
BT1,54.6,-5.92
BT10,54.57,-5.97
BT11,54.58,-5.98
BT12,54.6,-5.94
BT13,54.61,-5.93
BT14,54.61,-5.94
BT15,54.6,-5.93
BT16,54.59,-5.81
BT17,54.55,-6.01
BT18,54.65,-5.82
BT19,54.65,-5.69
BT2,54.6,-5.94
BT20,54.66,-5.67
BT21,54.64,-5.54
BT22,54.46,-5.49
BT23,54.59,-5.69
BT24,54.46,-5.83
BT25,54.42,-6.15
BT26,54.47,-6.08
BT27,54.51,-6.04
BT28,54.51,-6.04
BT29,54.63,-6.21
BT3,54.61,-5.92
BT30,54.34,-5.71
BT31,54.26,-5.97
BT32,54.36,-6.23
BT33,54.21,-5.89
BT34,54.23,-6.35
